video_name,min_area,min_frames,var_threshold,history,in_count,out_count,survivors,error
V403-28,50,15,12,200,3,3,644,
V403-28,50,15,12,500,3,3,974,
V403-28,50,15,18,200,2,3,425,
V403-28,50,15,18,500,2,3,556,
V403-28,50,30,12,200,3,3,222,
V403-28,50,30,12,500,3,3,453,
V403-28,50,30,18,200,2,3,152,
V403-28,50,30,18,500,2,3,304,
V403-28,100,15,12,200,2,0,286,
V403-28,100,15,12,500,2,1,394,
V403-28,100,15,18,200,2,1,195,
V403-28,100,15,18,500,2,1,277,
V403-28,100,30,12,200,2,0,119,
V403-28,100,30,12,500,2,1,225,
V403-28,100,30,18,200,2,1,72,
V403-28,100,30,18,500,2,1,166,
V403-29,50,15,12,200,3,4,442,
V403-29,50,15,12,500,2,2,457,
V403-29,50,15,18,200,1,4,307,
V403-29,50,15,18,500,2,3,331,
V403-29,50,30,12,200,3,2,212,
V403-29,50,30,12,500,2,2,284,
V403-29,50,30,18,200,0,4,146,
V403-29,50,30,18,500,2,3,225,
V403-29,100,15,12,200,0,2,230,
V403-29,100,15,12,500,0,1,234,
V403-29,100,15,18,200,0,1,166,
V403-29,100,15,18,500,0,4,177,
V403-29,100,30,12,200,0,2,107,
V403-29,100,30,12,500,0,1,165,
V403-29,100,30,18,200,0,1,82,
V403-29,100,30,18,500,0,4,122,
V403-30,50,15,12,200,2,2,390,
V403-30,50,15,12,500,2,4,328,
V403-30,50,15,18,200,1,2,282,
V403-30,50,15,18,500,2,3,241,
V403-30,50,30,12,200,2,2,192,
V403-30,50,30,12,500,2,4,236,
V403-30,50,30,18,200,1,2,137,
V403-30,50,30,18,500,2,3,184,
V403-30,100,15,12,200,2,1,194,
V403-30,100,15,12,500,2,2,170,
V403-30,100,15,18,200,1,1,139,
V403-30,100,15,18,500,2,2,130,
V403-30,100,30,12,200,2,1,80,
V403-30,100,30,12,500,2,2,131,
V403-30,100,30,18,200,1,1,50,
V403-30,100,30,18,500,2,2,102,
V403-31,50,15,12,200,6,5,419,
V403-31,50,15,12,500,6,6,315,
V403-31,50,15,18,200,5,6,284,
V403-31,50,15,18,500,5,6,220,
V403-31,50,30,12,200,6,5,196,
V403-31,50,30,12,500,6,6,219,
V403-31,50,30,18,200,5,6,133,
V403-31,50,30,18,500,5,6,157,
V403-31,100,15,12,200,4,6,198,
V403-31,100,15,12,500,6,6,166,
V403-31,100,15,18,200,5,6,131,
V403-31,100,15,18,500,5,6,124,
V403-31,100,30,12,200,4,6,102,
V403-31,100,30,12,500,6,6,137,
V403-31,100,30,18,200,5,6,69,
V403-31,100,30,18,500,5,6,100,
V403-56,50,15,12,200,0,0,66,
V403-56,50,15,12,500,0,0,120,
V403-56,50,15,18,200,0,0,32,
V403-56,50,15,18,500,0,0,92,
V403-56,50,30,12,200,0,0,19,
V403-56,50,30,12,500,0,0,79,
V403-56,50,30,18,200,0,0,12,
V403-56,50,30,18,500,0,0,58,
V403-56,100,15,12,200,0,0,9,
V403-56,100,15,12,500,0,0,12,
V403-56,100,15,18,200,0,0,7,
V403-56,100,15,18,500,0,0,8,
V403-56,100,30,12,200,0,0,6,
V403-56,100,30,12,500,0,0,6,
V403-56,100,30,18,200,0,0,4,
V403-56,100,30,18,500,0,0,6,
V403-57,50,15,12,200,0,0,181,
V403-57,50,15,12,500,0,1,193,
V403-57,50,15,18,200,0,0,147,
V403-57,50,15,18,500,0,1,168,
V403-57,50,30,12,200,0,0,65,
V403-57,50,30,12,500,0,1,114,
V403-57,50,30,18,200,0,0,55,
V403-57,50,30,18,500,0,1,81,
V403-57,100,15,12,200,0,0,80,
V403-57,100,15,12,500,0,0,61,
V403-57,100,15,18,200,0,0,75,
V403-57,100,15,18,500,0,0,47,
V403-57,100,30,12,200,0,0,45,
V403-57,100,30,12,500,0,0,39,
V403-57,100,30,18,200,0,0,40,
V403-57,100,30,18,500,0,0,27,
V403-58,50,15,12,200,1,0,99,
V403-58,50,15,12,500,2,0,162,
V403-58,50,15,18,200,1,0,62,
V403-58,50,15,18,500,1,0,135,
V403-58,50,30,12,200,1,0,33,
V403-58,50,30,12,500,2,0,106,
V403-58,50,30,18,200,1,0,20,
V403-58,50,30,18,500,1,0,88,
V403-58,100,15,12,200,0,0,17,
V403-58,100,15,12,500,0,0,22,
V403-58,100,15,18,200,0,0,7,
V403-58,100,15,18,500,0,0,17,
V403-58,100,30,12,200,0,0,8,
V403-58,100,30,12,500,0,0,14,
V403-58,100,30,18,200,0,0,2,
V403-58,100,30,18,500,0,0,9,
V403-59,50,15,12,200,0,0,72,
V403-59,50,15,12,500,1,0,132,
V403-59,50,15,18,200,0,0,49,
V403-59,50,15,18,500,1,0,100,
V403-59,50,30,12,200,0,0,33,
V403-59,50,30,12,500,1,0,89,
V403-59,50,30,18,200,0,0,20,
V403-59,50,30,18,500,1,0,60,
V403-59,100,15,12,200,0,0,17,
V403-59,100,15,12,500,0,0,26,
V403-59,100,15,18,200,0,0,16,
V403-59,100,15,18,500,0,0,20,
V403-59,100,30,12,200,0,0,9,
V403-59,100,30,12,500,0,0,21,
V403-59,100,30,18,200,0,0,6,
V403-59,100,30,18,500,0,0,15,
V403-60,50,15,12,200,0,1,113,
V403-60,50,15,12,500,0,1,168,
V403-60,50,15,18,200,0,1,94,
V403-60,50,15,18,500,0,1,152,
V403-60,50,30,12,200,0,1,57,
V403-60,50,30,12,500,0,1,105,
V403-60,50,30,18,200,0,1,36,
V403-60,50,30,18,500,0,1,98,
V403-60,100,15,12,200,0,1,30,
V403-60,100,15,12,500,0,1,40,
V403-60,100,15,18,200,0,1,24,
V403-60,100,15,18,500,0,1,31,
V403-60,100,30,12,200,0,1,13,
V403-60,100,30,12,500,0,1,27,
V403-60,100,30,18,200,0,1,9,
V403-60,100,30,18,500,0,1,20,
V403-61,50,15,12,200,0,0,130,
V403-61,50,15,12,500,0,0,134,
V403-61,50,15,18,200,0,0,107,
V403-61,50,15,18,500,0,0,118,
V403-61,50,30,12,200,0,0,65,
V403-61,50,30,12,500,0,0,85,
V403-61,50,30,18,200,0,0,44,
V403-61,50,30,18,500,0,0,82,
V403-61,100,15,12,200,0,0,42,
V403-61,100,15,12,500,0,0,41,
V403-61,100,15,18,200,0,0,28,
V403-61,100,15,18,500,0,0,32,
V403-61,100,30,12,200,0,0,24,
V403-61,100,30,12,500,0,0,24,
V403-61,100,30,18,200,0,0,14,
V403-61,100,30,18,500,0,0,24,
V403-62,50,15,12,200,1,1,96,
V403-62,50,15,12,500,1,0,127,
V403-62,50,15,18,200,0,1,82,
V403-62,50,15,18,500,1,0,107,
V403-62,50,30,12,200,1,1,50,
V403-62,50,30,12,500,1,0,86,
V403-62,50,30,18,200,0,1,47,
V403-62,50,30,18,500,1,0,77,
